antecedents_str,consequents_str,support,confidence,lift,conviction,zhang,leverage,antecedents_len,consequents_len
nasal congestion,fever,0.024194509124384037,0.38365103898334196,5.671536773059058,1.512706389744673,0.8791217417853675,0.019928556157401113,1,1
loss of sensation,arm pain,0.01632100503601018,0.31382757184506455,5.646389097099384,1.3763592605371693,0.8680391509715273,0.013430484252666632,1,1
ache all over,arm pain,0.011674879514810202,0.31309904153354634,5.6332813717848795,1.3748994875837603,0.8543403276803678,0.009602396579147595,1,1
arm pain,neck pain,0.017848053284236748,0.32112236944660955,5.479732763417611,1.3866978779971624,0.865620743875272,0.014590950419040592,1,1
neck pain,arm pain,0.017848053284236748,0.3045647754574016,5.479732763417611,1.3580269484300063,0.8683991271473395,0.014590950419040592,1,1
insomnia,depressive or psychotic symptoms,0.014880597823143986,0.4001164822364589,5.454710672863345,1.5447124416631923,0.8482180110820162,0.012152570854239198,1,1
wheezing,shortness of breath,0.010570206313965451,0.4817374136229023,5.449127047270695,1.758941659124255,0.8348014485421545,0.008630408210109576,1,1
chest tightness,shortness of breath,0.020577245898088483,0.481500253421186,5.4464444321505825,1.7581371245773487,0.852840714282737,0.016799139620785778,1,1
sore throat,cough,0.02317647695889966,0.4860322507381331,5.426576526227995,1.7713851326347478,0.8565672135775266,0.018905556453700484,1,1
"back pain, low back pain",leg pain,0.01063518709048573,0.41698513800424625,5.363187451960172,1.5818644789542304,0.8348361754071622,0.008652189631279133,2,1
low back pain,leg pain,0.02342556993556073,0.4157216990197963,5.346937328178422,1.5784438671542125,0.8615231577793903,0.01904445070827753,1,1
leg pain,low back pain,0.02342556993556073,0.30129544504805683,5.346937328178422,1.3505720406995227,0.8815143475930508,0.01904445070827753,1,1
abusing alcohol,depressive or psychotic symptoms,0.012887854009855418,0.3871177618737801,5.27750163038764,1.5119503809917663,0.8384292348592678,0.010445817055163129,1,1
wheezing,sharp chest pain,0.011631558997130016,0.5301085883514314,5.179637725442266,1.9103462092044268,0.8250391842136535,0.009385927234121561,1,1
cough,fever,0.031309904153354634,0.34957678355501814,5.167814971109927,1.4334589972639074,0.8858345415251326,0.025251269250907652,1,1
fever,cough,0.031309904153354634,0.462856227985911,5.167814971109926,1.6949555726624612,0.8650080815587389,0.025251269250907652,1,1
knee pain,leg pain,0.01582281908268804,0.3936944219886823,5.063626473648834,1.521098492806989,0.8361171372826547,0.01269801926480452,1,1
intermenstrual bleeding,lower abdominal pain,0.011999783397411598,0.3536546441110756,5.031541073034849,1.4384143888297243,0.8293957931201782,0.00961487125553898,1,1
ear pain,fever,0.015389613905886175,0.33625177472787504,4.970830550672165,1.4046817394655031,0.8371407388211305,0.012293629492616412,1,1
"low back pain, neck pain",back pain,0.010884280067146802,0.5164439876670092,4.946152432448221,1.8520847625085546,0.8149991064051567,0.008683725147783074,2,1
difficulty breathing,sharp chest pain,0.010017869713543077,0.5018990775908845,4.904005431677706,1.8021554199075949,0.8122984740475788,0.007975076357558585,1,1
